title,from_date,count
Senior Staff,6/18/2002,13
Senior Engineer,6/17/2002,16
Engineer,6/17/2002,1
Senior Staff,6/17/2002,25
Senior Engineer,6/16/2002,16
Engineer,6/16/2002,2
Senior Staff,6/16/2002,13
Engineer,6/15/2002,6
Senior Staff,6/15/2002,14
Senior Engineer,6/15/2002,24
Senior Staff,6/14/2002,8
Engineer,6/14/2002,2
Senior Engineer,6/14/2002,16
Engineer,6/13/2002,3
Senior Staff,6/13/2002,20
Senior Engineer,6/13/2002,25
Engineer,6/12/2002,2
Senior Staff,6/12/2002,7
Senior Engineer,6/12/2002,19
Senior Staff,6/11/2002,5
Senior Engineer,6/11/2002,18
Engineer,6/11/2002,3
Senior Staff,6/10/2002,12
Engineer,6/10/2002,4
Senior Engineer,6/10/2002,15
Senior Staff,6/9/2002,20
Engineer,6/9/2002,3
Senior Engineer,6/9/2002,19
Engineer,6/8/2002,1
Senior Staff,6/8/2002,11
Senior Engineer,6/8/2002,15
Senior Staff,6/7/2002,10
Engineer,6/7/2002,3
Senior Engineer,6/7/2002,12
Engineer,6/6/2002,4
Senior Engineer,6/6/2002,16
Senior Staff,6/6/2002,22
Senior Engineer,6/5/2002,19
Senior Staff,6/5/2002,11
Senior Engineer,6/4/2002,22
Senior Staff,6/4/2002,13
Engineer,6/4/2002,3
Engineer,6/3/2002,2
Senior Staff,6/3/2002,14
Senior Engineer,6/3/2002,18
Engineer,6/2/2002,2
Senior Engineer,6/2/2002,19
Senior Staff,6/2/2002,16
Senior Engineer,6/1/2002,22
Engineer,6/1/2002,3
Senior Staff,6/1/2002,18
Senior Staff,5/31/2002,11
Senior Engineer,5/31/2002,19
Senior Staff,5/30/2002,16
Senior Engineer,5/30/2002,14
Engineer,5/29/2002,3
Senior Engineer,5/29/2002,27
Senior Staff,5/29/2002,16
Senior Engineer,5/28/2002,11
Engineer,5/28/2002,2
Senior Staff,5/28/2002,15
Senior Staff,5/27/2002,23
Engineer,5/27/2002,1
Senior Engineer,5/27/2002,22
Senior Staff,5/26/2002,15
Engineer,5/26/2002,1
Senior Engineer,5/26/2002,19
Engineer,5/25/2002,2
Senior Engineer,5/25/2002,21
Senior Staff,5/25/2002,12
Senior Engineer,5/24/2002,18
Senior Staff,5/24/2002,20
Engineer,5/24/2002,2
Senior Staff,5/23/2002,13
Senior Engineer,5/23/2002,18
Senior Staff,5/22/2002,10
Senior Engineer,5/22/2002,18
Engineer,5/22/2002,3
Engineer,5/21/2002,4
Senior Staff,5/21/2002,17
Senior Engineer,5/21/2002,21
Senior Engineer,5/20/2002,21
Senior Staff,5/20/2002,19
Engineer,5/20/2002,5
Senior Staff,5/19/2002,15
Engineer,5/19/2002,2
Senior Engineer,5/19/2002,15
Senior Engineer,5/18/2002,24
Senior Staff,5/18/2002,9
Engineer,5/18/2002,1
Engineer,5/17/2002,2
Senior Engineer,5/17/2002,13
Senior Staff,5/17/2002,14
Senior Engineer,5/16/2002,10
Senior Staff,5/16/2002,25
Engineer,5/16/2002,3
Engineer,5/15/2002,1
Senior Staff,5/15/2002,20
Senior Engineer,5/15/2002,13
Engineer,5/14/2002,2
Senior Engineer,5/14/2002,13
Senior Staff,5/14/2002,12
Senior Staff,5/13/2002,16
Engineer,5/13/2002,1
Senior Engineer,5/13/2002,15
Senior Staff,5/12/2002,18
Engineer,5/12/2002,2
Senior Engineer,5/12/2002,18
Engineer,5/11/2002,1
Senior Engineer,5/11/2002,18
Senior Staff,5/11/2002,20
Senior Staff,5/10/2002,22
Senior Engineer,5/10/2002,8
Engineer,5/10/2002,1
Senior Staff,5/9/2002,17
Senior Engineer,5/9/2002,20
Engineer,5/9/2002,3
Senior Staff,5/8/2002,13
Senior Engineer,5/8/2002,14
Engineer,5/8/2002,1
Senior Staff,5/7/2002,12
Senior Engineer,5/7/2002,24
Engineer,5/7/2002,2
Senior Staff,5/6/2002,13
Engineer,5/6/2002,1
Senior Engineer,5/6/2002,17
Engineer,5/5/2002,3
Senior Engineer,5/5/2002,16
Senior Staff,5/5/2002,17
Senior Staff,5/4/2002,11
Engineer,5/4/2002,2
Senior Engineer,5/4/2002,16
Engineer,5/3/2002,1
Senior Engineer,5/3/2002,16
Senior Staff,5/3/2002,17
Senior Staff,5/2/2002,14
Senior Engineer,5/2/2002,23
Engineer,5/1/2002,2
Senior Staff,5/1/2002,19
Senior Engineer,5/1/2002,17
Senior Staff,4/30/2002,23
Senior Engineer,4/30/2002,17
Engineer,4/30/2002,6
Senior Staff,4/29/2002,18
Engineer,4/29/2002,3
Senior Engineer,4/29/2002,17
Senior Staff,4/28/2002,14
Senior Engineer,4/28/2002,13
Engineer,4/27/2002,1
Senior Engineer,4/27/2002,20
Senior Staff,4/27/2002,19
Senior Engineer,4/26/2002,29
Engineer,4/26/2002,3
Senior Staff,4/26/2002,20
Senior Engineer,4/25/2002,11
Engineer,4/25/2002,1
Senior Staff,4/25/2002,19
Engineer,4/24/2002,1
Senior Staff,4/24/2002,8
Senior Engineer,4/24/2002,15
Senior Staff,4/23/2002,14
Senior Engineer,4/23/2002,15
Engineer,4/23/2002,3
Senior Staff,4/22/2002,21
Senior Engineer,4/22/2002,22
Engineer,4/22/2002,2
Senior Engineer,4/21/2002,25
Senior Staff,4/21/2002,19
Senior Engineer,4/20/2002,20
Senior Staff,4/20/2002,16
Engineer,4/20/2002,1
Senior Staff,4/19/2002,12
Engineer,4/19/2002,5
Senior Engineer,4/19/2002,23
Senior Engineer,4/18/2002,15
Senior Staff,4/18/2002,12
Engineer,4/18/2002,2
Senior Staff,4/17/2002,10
Engineer,4/17/2002,1
Senior Engineer,4/17/2002,15
Engineer,4/16/2002,2
Senior Engineer,4/16/2002,17
Senior Staff,4/16/2002,24
Senior Staff,4/15/2002,19
Senior Engineer,4/15/2002,15
Engineer,4/15/2002,3
Senior Staff,4/14/2002,20
Engineer,4/14/2002,3
Senior Engineer,4/14/2002,12
Senior Staff,4/13/2002,19
Engineer,4/13/2002,2
Senior Engineer,4/13/2002,17
Senior Staff,4/12/2002,15
Senior Engineer,4/12/2002,20
Engineer,4/12/2002,3
Engineer,4/11/2002,2
Senior Engineer,4/11/2002,14
Senior Staff,4/11/2002,17
Senior Engineer,4/10/2002,16
Senior Staff,4/10/2002,9
Engineer,4/9/2002,1
Senior Engineer,4/9/2002,18
Senior Staff,4/9/2002,15
Senior Staff,4/8/2002,19
Engineer,4/8/2002,3
Senior Engineer,4/8/2002,23
Senior Engineer,4/7/2002,1
Senior Staff,4/7/2002,3
Senior Staff,4/6/2002,17
Senior Engineer,4/6/2002,21
Senior Engineer,4/5/2002,8
Engineer,4/5/2002,3
Senior Staff,4/5/2002,21
Senior Engineer,4/4/2002,15
Senior Staff,4/4/2002,17
Engineer,4/4/2002,3
Senior Staff,4/3/2002,25
Engineer,4/3/2002,3
Senior Engineer,4/3/2002,18
Engineer,4/2/2002,3
Senior Engineer,4/2/2002,14
Senior Staff,4/2/2002,26
Senior Staff,4/1/2002,14
Senior Engineer,4/1/2002,14
Engineer,4/1/2002,5
Engineer,3/31/2002,2
Senior Engineer,3/31/2002,21
Senior Staff,3/31/2002,20
Senior Engineer,3/30/2002,20
Senior Staff,3/30/2002,20
Engineer,3/30/2002,1
Engineer,3/29/2002,2
Senior Staff,3/29/2002,16
Senior Engineer,3/29/2002,16
Engineer,3/28/2002,4
Senior Engineer,3/28/2002,17
Senior Staff,3/28/2002,15
Senior Staff,3/27/2002,20
Engineer,3/27/2002,6
Senior Engineer,3/27/2002,14
Senior Staff,3/26/2002,11
Engineer,3/26/2002,3
Senior Engineer,3/26/2002,14
Engineer,3/25/2002,4
Senior Staff,3/25/2002,18
Senior Engineer,3/25/2002,26
Senior Staff,3/24/2002,19
Engineer,3/24/2002,2
Senior Engineer,3/24/2002,13
Engineer,3/23/2002,1
Senior Staff,3/23/2002,20
Senior Engineer,3/23/2002,16
Engineer,3/22/2002,1
Senior Staff,3/22/2002,10
Senior Engineer,3/22/2002,14
Senior Engineer,3/21/2002,26
Engineer,3/21/2002,5
Senior Staff,3/21/2002,19
Senior Staff,3/20/2002,12
Engineer,3/20/2002,1
Senior Engineer,3/20/2002,22
Engineer,3/19/2002,1
Senior Staff,3/19/2002,22
Senior Engineer,3/19/2002,16
Engineer,3/18/2002,2
Senior Staff,3/18/2002,20
Senior Engineer,3/18/2002,22
Senior Engineer,3/17/2002,14
Engineer,3/17/2002,2
Senior Staff,3/17/2002,16
Senior Engineer,3/16/2002,17
Senior Staff,3/16/2002,21
Engineer,3/16/2002,1
Senior Staff,3/15/2002,17
Engineer,3/15/2002,3
Senior Engineer,3/15/2002,20
Senior Engineer,3/14/2002,19
Engineer,3/14/2002,1
Senior Staff,3/14/2002,14
Senior Engineer,3/13/2002,15
Engineer,3/13/2002,3
Senior Staff,3/13/2002,11
Senior Staff,3/12/2002,26
Engineer,3/12/2002,1
Senior Engineer,3/12/2002,15
Senior Staff,3/11/2002,16
Senior Engineer,3/11/2002,20
Engineer,3/11/2002,2
Senior Engineer,3/10/2002,22
Engineer,3/10/2002,4
Senior Staff,3/10/2002,17
Senior Engineer,3/9/2002,24
Senior Staff,3/9/2002,14
Engineer,3/8/2002,2
Senior Staff,3/8/2002,18
Senior Engineer,3/8/2002,19
Senior Engineer,3/7/2002,14
Senior Staff,3/7/2002,15
Engineer,3/7/2002,1
Senior Staff,3/6/2002,18
Senior Engineer,3/6/2002,14
Senior Engineer,3/5/2002,21
Senior Staff,3/5/2002,13
Engineer,3/5/2002,2
Senior Staff,3/4/2002,19
Senior Engineer,3/4/2002,13
Engineer,3/4/2002,3
Senior Staff,3/3/2002,14
Senior Engineer,3/3/2002,13
Engineer,3/3/2002,4
Senior Staff,3/2/2002,10
Engineer,3/2/2002,4
Senior Engineer,3/2/2002,19
Senior Engineer,3/1/2002,18
Engineer,3/1/2002,2
Senior Staff,3/1/2002,17
Senior Engineer,2/28/2002,13
Senior Staff,2/28/2002,15
Engineer,2/28/2002,4
Senior Staff,2/27/2002,17
Senior Engineer,2/27/2002,22
Engineer,2/27/2002,3
Senior Staff,2/26/2002,19
Engineer,2/26/2002,4
Senior Engineer,2/26/2002,15
Engineer,2/25/2002,2
Senior Engineer,2/25/2002,18
Senior Staff,2/25/2002,25
Senior Engineer,2/24/2002,26
Engineer,2/24/2002,1
Senior Staff,2/24/2002,22
Senior Engineer,2/23/2002,24
Senior Staff,2/23/2002,17
Engineer,2/23/2002,5
Engineer,2/22/2002,2
Senior Engineer,2/22/2002,18
Senior Staff,2/22/2002,17
Senior Staff,2/21/2002,10
Engineer,2/21/2002,3
Senior Engineer,2/21/2002,13
Senior Engineer,2/20/2002,12
Senior Staff,2/20/2002,19
Engineer,2/20/2002,1
Senior Staff,2/19/2002,20
Senior Engineer,2/19/2002,13
Engineer,2/19/2002,1
Senior Staff,2/18/2002,14
Senior Engineer,2/18/2002,14
Senior Staff,2/17/2002,18
Senior Engineer,2/17/2002,24
Engineer,2/16/2002,4
Senior Staff,2/16/2002,14
Senior Engineer,2/16/2002,14
Senior Engineer,2/15/2002,13
Senior Staff,2/15/2002,12
Engineer,2/15/2002,1
Senior Staff,2/14/2002,20
Senior Engineer,2/14/2002,22
Engineer,2/14/2002,1
Engineer,2/13/2002,3
Senior Staff,2/13/2002,18
Senior Engineer,2/13/2002,7
Engineer,2/12/2002,3
Senior Engineer,2/12/2002,14
Senior Staff,2/12/2002,19
Senior Staff,2/11/2002,11
Senior Engineer,2/11/2002,17
Engineer,2/11/2002,2
Senior Engineer,2/10/2002,12
Senior Staff,2/10/2002,11
Engineer,2/10/2002,4
Senior Engineer,2/9/2002,19
Senior Staff,2/9/2002,16
Engineer,2/9/2002,1
Senior Staff,2/8/2002,13
Engineer,2/8/2002,5
Senior Engineer,2/8/2002,19
Senior Staff,2/7/2002,22
Engineer,2/7/2002,1
Senior Engineer,2/7/2002,15
Senior Engineer,2/6/2002,14
Engineer,2/6/2002,1
Senior Staff,2/6/2002,15
Senior Staff,2/5/2002,12
Engineer,2/5/2002,2
Senior Engineer,2/5/2002,24
Senior Staff,2/4/2002,16
Engineer,2/4/2002,7
Senior Engineer,2/4/2002,10
Engineer,2/3/2002,4
Senior Engineer,2/3/2002,21
Senior Staff,2/3/2002,10
Senior Staff,2/2/2002,19
Senior Engineer,2/2/2002,16
Engineer,2/2/2002,2
Senior Engineer,2/1/2002,24
Senior Staff,2/1/2002,16
Engineer,2/1/2002,3
Senior Engineer,1/31/2002,17
Senior Staff,1/31/2002,18
Engineer,1/30/2002,3
Senior Staff,1/30/2002,17
Senior Engineer,1/30/2002,19
Senior Engineer,1/29/2002,12
Engineer,1/29/2002,3
Senior Staff,1/29/2002,19
Senior Staff,1/28/2002,30
Senior Engineer,1/28/2002,16
Engineer,1/28/2002,1
Senior Engineer,1/27/2002,15
Senior Staff,1/27/2002,12
Engineer,1/27/2002,1
Senior Engineer,1/26/2002,14
Engineer,1/26/2002,4
Senior Staff,1/26/2002,14
Engineer,1/25/2002,3
Senior Engineer,1/25/2002,10
Senior Staff,1/25/2002,16
Senior Staff,1/24/2002,19
Senior Engineer,1/24/2002,20
Engineer,1/24/2002,3
Senior Staff,1/23/2002,16
Engineer,1/23/2002,4
Senior Engineer,1/23/2002,16
Senior Engineer,1/22/2002,27
Engineer,1/22/2002,4
Senior Staff,1/22/2002,14
Senior Engineer,1/21/2002,13
Engineer,1/21/2002,3
Senior Staff,1/21/2002,13
Senior Engineer,1/20/2002,13
Senior Staff,1/20/2002,11
Engineer,1/20/2002,4
Senior Engineer,1/19/2002,12
Engineer,1/19/2002,1
Senior Staff,1/19/2002,8
Engineer,1/18/2002,3
Senior Engineer,1/18/2002,19
Senior Staff,1/18/2002,19
Senior Engineer,1/17/2002,18
Senior Staff,1/17/2002,13
Engineer,1/17/2002,3
Engineer,1/16/2002,1
Senior Staff,1/16/2002,11
Senior Engineer,1/16/2002,18
Senior Engineer,1/15/2002,11
Senior Staff,1/15/2002,17
Engineer,1/15/2002,2
Engineer,1/14/2002,2
Senior Engineer,1/14/2002,15
Senior Staff,1/14/2002,18
Engineer,1/13/2002,1
Senior Engineer,1/13/2002,11
Senior Staff,1/13/2002,9
Senior Staff,1/12/2002,13
Senior Engineer,1/12/2002,21
Engineer,1/12/2002,1
Senior Engineer,1/11/2002,9
Senior Staff,1/11/2002,11
Engineer,1/11/2002,1
Senior Staff,1/10/2002,16
Engineer,1/10/2002,2
Senior Engineer,1/10/2002,20
Engineer,1/9/2002,3
Senior Engineer,1/9/2002,14
Senior Staff,1/9/2002,14
Engineer,1/8/2002,3
Senior Engineer,1/8/2002,17
Senior Staff,1/8/2002,10
Engineer,1/7/2002,2
Senior Engineer,1/7/2002,24
Senior Staff,1/7/2002,14
Engineer,1/6/2002,1
Senior Staff,1/6/2002,21
Senior Engineer,1/6/2002,15
Engineer,1/5/2002,3
Senior Engineer,1/5/2002,16
Senior Staff,1/5/2002,13
Engineer,1/4/2002,4
Senior Engineer,1/4/2002,18
Senior Staff,1/4/2002,18
Engineer,1/3/2002,3
Senior Engineer,1/3/2002,23
Senior Staff,1/3/2002,20
Senior Engineer,1/2/2002,9
Engineer,1/2/2002,2
Senior Staff,1/2/2002,14
Senior Engineer,1/1/2002,16
Senior Staff,1/1/2002,19
Engineer,1/1/2002,4
Senior Engineer,12/31/2001,23
Senior Staff,12/31/2001,18
Senior Engineer,12/30/2001,16
Engineer,12/30/2001,1
Senior Staff,12/30/2001,15
Senior Engineer,12/29/2001,19
Senior Staff,12/29/2001,18
Engineer,12/29/2001,3
Senior Staff,12/28/2001,13
Engineer,12/28/2001,1
Senior Engineer,12/28/2001,31
Engineer,12/27/2001,1
Senior Engineer,12/27/2001,21
Senior Staff,12/27/2001,21
Senior Engineer,12/26/2001,16
Senior Staff,12/26/2001,12
Senior Staff,12/25/2001,18
Engineer,12/25/2001,1
Senior Engineer,12/25/2001,23
Senior Engineer,12/24/2001,21
Engineer,12/24/2001,1
Senior Staff,12/24/2001,21
Engineer,12/23/2001,4
Senior Staff,12/23/2001,17
Senior Engineer,12/23/2001,21
Engineer,12/22/2001,4
Senior Engineer,12/22/2001,18
Senior Staff,12/22/2001,25
Engineer,12/21/2001,2
Senior Engineer,12/21/2001,14
Senior Staff,12/21/2001,16
Senior Engineer,12/20/2001,18
Engineer,12/20/2001,2
Senior Staff,12/20/2001,25
Engineer,12/19/2001,2
Senior Engineer,12/19/2001,14
Senior Staff,12/19/2001,22
Engineer,12/18/2001,1
Senior Staff,12/18/2001,19
Senior Engineer,12/18/2001,16
Senior Staff,12/17/2001,20
Engineer,12/17/2001,4
Senior Engineer,12/17/2001,18
Engineer,12/16/2001,3
Senior Staff,12/16/2001,13
Senior Engineer,12/16/2001,17
Senior Engineer,12/15/2001,20
Engineer,12/15/2001,1
Senior Staff,12/15/2001,16
Senior Staff,12/14/2001,12
Senior Engineer,12/14/2001,12
Senior Engineer,12/13/2001,24
Engineer,12/13/2001,2
Senior Staff,12/13/2001,14
Engineer,12/12/2001,2
Senior Staff,12/12/2001,12
Senior Engineer,12/12/2001,13
Senior Engineer,12/11/2001,17
Senior Staff,12/11/2001,12
Engineer,12/11/2001,2
Engineer,12/10/2001,4
Senior Engineer,12/10/2001,21
Senior Staff,12/10/2001,14
Senior Staff,12/9/2001,16
Engineer,12/9/2001,4
Senior Engineer,12/9/2001,20
Senior Staff,12/8/2001,16
Engineer,12/8/2001,1
Senior Engineer,12/8/2001,14
Engineer,12/7/2001,3
Senior Staff,12/7/2001,16
Senior Engineer,12/7/2001,23
Senior Staff,12/6/2001,16
Engineer,12/6/2001,3
Senior Engineer,12/6/2001,14
Senior Staff,12/5/2001,11
Senior Engineer,12/5/2001,24
Senior Engineer,12/4/2001,19
Engineer,12/4/2001,3
Senior Staff,12/4/2001,18
Engineer,12/3/2001,4
Senior Engineer,12/3/2001,25
Senior Staff,12/3/2001,16
Senior Engineer,12/2/2001,11
Engineer,12/2/2001,5
Senior Staff,12/2/2001,25
Senior Staff,12/1/2001,16
Senior Engineer,12/1/2001,18
Engineer,12/1/2001,2
Engineer,11/30/2001,1
Senior Engineer,11/30/2001,15
Senior Staff,11/30/2001,9
Engineer,11/29/2001,6
Senior Staff,11/29/2001,17
Senior Engineer,11/29/2001,19
Senior Staff,11/28/2001,17
Senior Engineer,11/28/2001,17
Engineer,11/28/2001,2
Engineer,11/27/2001,3
Senior Engineer,11/27/2001,20
Senior Staff,11/27/2001,16
Engineer,11/26/2001,4
Senior Staff,11/26/2001,12
Senior Engineer,11/26/2001,15
Senior Engineer,11/25/2001,18
Engineer,11/25/2001,1
Senior Staff,11/25/2001,16
Senior Engineer,11/24/2001,12
Engineer,11/24/2001,3
Senior Staff,11/24/2001,9
Senior Engineer,11/23/2001,21
Engineer,11/23/2001,2
Senior Staff,11/23/2001,17
Senior Staff,11/22/2001,20
Engineer,11/22/2001,3
Senior Engineer,11/22/2001,20
Senior Staff,11/21/2001,14
Senior Engineer,11/21/2001,14
Engineer,11/21/2001,2
Senior Staff,11/20/2001,13
Senior Engineer,11/20/2001,22
Engineer,11/20/2001,3
Senior Engineer,11/19/2001,17
Senior Staff,11/19/2001,22
Engineer,11/19/2001,3
Senior Staff,11/18/2001,15
Engineer,11/18/2001,2
Senior Engineer,11/18/2001,25
Senior Engineer,11/17/2001,14
Senior Staff,11/17/2001,14
Engineer,11/17/2001,4
Senior Staff,11/16/2001,6
Engineer,11/16/2001,5
Senior Engineer,11/16/2001,20
Senior Engineer,11/15/2001,16
Engineer,11/15/2001,2
Senior Staff,11/15/2001,19
Engineer,11/14/2001,4
Senior Staff,11/14/2001,14
Senior Engineer,11/14/2001,16
Senior Staff,11/13/2001,15
Senior Engineer,11/13/2001,17
Senior Staff,11/12/2001,14
Senior Engineer,11/12/2001,18
Engineer,11/12/2001,3
Senior Engineer,11/11/2001,14
Engineer,11/11/2001,2
Senior Staff,11/11/2001,14
Senior Staff,11/10/2001,14
Engineer,11/10/2001,1
Senior Engineer,11/10/2001,14
Senior Staff,11/9/2001,16
Senior Engineer,11/9/2001,14
Senior Staff,11/8/2001,22
Engineer,11/8/2001,1
Senior Engineer,11/8/2001,17
Senior Staff,11/7/2001,15
Senior Engineer,11/7/2001,21
Senior Engineer,11/6/2001,15
Engineer,11/6/2001,4
Senior Staff,11/6/2001,17
Senior Engineer,11/5/2001,28
Senior Staff,11/5/2001,15
Engineer,11/5/2001,3
Senior Staff,11/4/2001,14
Senior Engineer,11/4/2001,21
Engineer,11/4/2001,3
Engineer,11/3/2001,1
Senior Engineer,11/3/2001,15
Senior Staff,11/3/2001,19
Engineer,11/2/2001,2
Senior Staff,11/2/2001,15
Senior Engineer,11/2/2001,16
Engineer,11/1/2001,1
Senior Engineer,11/1/2001,16
Senior Staff,11/1/2001,22
Senior Engineer,10/31/2001,16
Senior Staff,10/31/2001,16
Senior Staff,10/30/2001,16
Senior Engineer,10/30/2001,7
Engineer,10/30/2001,2
Senior Staff,10/29/2001,15
Senior Engineer,10/29/2001,12
Engineer,10/28/2001,4
Senior Staff,10/28/2001,19
Senior Engineer,10/28/2001,24
Engineer,10/27/2001,1
Senior Engineer,10/27/2001,17
Senior Staff,10/27/2001,17
Senior Engineer,10/26/2001,15
Engineer,10/26/2001,5
Senior Staff,10/26/2001,15
Engineer,10/25/2001,3
Senior Engineer,10/25/2001,13
Senior Staff,10/25/2001,14
Senior Staff,10/24/2001,14
Senior Engineer,10/24/2001,17
Engineer,10/24/2001,2
Senior Staff,10/23/2001,21
Engineer,10/23/2001,5
Senior Engineer,10/23/2001,23
Senior Engineer,10/22/2001,16
Senior Staff,10/22/2001,18
Engineer,10/22/2001,1
Senior Staff,10/21/2001,15
Engineer,10/21/2001,3
Senior Engineer,10/21/2001,14
Senior Staff,10/20/2001,11
Senior Engineer,10/20/2001,13
Senior Staff,10/19/2001,13
Engineer,10/19/2001,4
Senior Engineer,10/19/2001,20
Engineer,10/18/2001,4
Senior Staff,10/18/2001,19
Senior Engineer,10/18/2001,13
Engineer,10/17/2001,3
Senior Engineer,10/17/2001,16
Senior Staff,10/17/2001,16
Senior Engineer,10/16/2001,14
Senior Staff,10/16/2001,10
Senior Engineer,10/15/2001,25
Senior Staff,10/15/2001,11
Engineer,10/15/2001,2
Senior Staff,10/14/2001,17
Engineer,10/14/2001,3
Senior Engineer,10/14/2001,16
Senior Staff,10/13/2001,17
Engineer,10/13/2001,4
Senior Engineer,10/13/2001,18
Engineer,10/12/2001,3
Senior Engineer,10/12/2001,15
Senior Staff,10/12/2001,17
Engineer,10/11/2001,4
Senior Engineer,10/11/2001,22
Senior Staff,10/11/2001,17
Senior Engineer,10/10/2001,25
Senior Staff,10/10/2001,11
Engineer,10/10/2001,1
Senior Engineer,10/9/2001,19
Senior Staff,10/9/2001,21
Engineer,10/9/2001,6
Senior Engineer,10/8/2001,16
Senior Staff,10/8/2001,18
Engineer,10/8/2001,3
Senior Staff,10/7/2001,17
Senior Engineer,10/7/2001,12
Engineer,10/7/2001,1
Engineer,10/6/2001,2
Senior Engineer,10/6/2001,11
Senior Staff,10/6/2001,18
Senior Engineer,10/5/2001,16
Engineer,10/5/2001,3
Senior Staff,10/5/2001,16
Senior Engineer,10/4/2001,19
Engineer,10/4/2001,6
Senior Staff,10/4/2001,11
Senior Engineer,10/3/2001,15
Engineer,10/3/2001,5
Senior Staff,10/3/2001,23
Senior Engineer,10/2/2001,16
Senior Staff,10/2/2001,8
Engineer,10/2/2001,1
Senior Engineer,10/1/2001,31
Senior Staff,10/1/2001,21
Engineer,10/1/2001,1
Engineer,9/30/2001,2
Senior Staff,9/30/2001,13
Senior Engineer,9/30/2001,15
Senior Staff,9/29/2001,22
Senior Engineer,9/29/2001,18
Engineer,9/29/2001,1
